================================================================================
UPLOADING WITH ULTRA-SAFE SETTINGS
Starting from embedding 14600
Batch size: 100 | Timeout: 300s | Pause: 10s
================================================================================

Loaded 19731 embeddings to upload
Uploading in 198 batches of 100...
Estimated time: 49.5 minutes

[115/198] Uploading embeddings 26000-26100... ✓ Success
[116/198] Uploading embeddings 26100-26200... ✓ Success
[117/198] Uploading embeddings 26200-26300... ✓ Success
[118/198] Uploading embeddings 26300-26400... ✓ Success
[119/198] Uploading embeddings 26400-26500... ✓ Success
[120/198] Uploading embeddings 26500-26600... ✓ Success
[121/198] Uploading embeddings 26600-26700... ✓ Success
[122/198] Uploading embeddings 26700-26800... ✓ Success
[123/198] Uploading embeddings 26800-26900... ✓ Success
[124/198] Uploading embeddings 26900-27000... ✓ Success
[125/198] Uploading embeddings 27000-27100... ✓ Success
[126/198] Uploading embeddings 27100-27200... ✓ Success
[127/198] Uploading embeddings 27200-27300... ✓ Success
[128/198] Uploading embeddings 27300-27400... ✓ Success
[129/198] Uploading embeddings 27400-27500... ✓ Success
[130/198] Uploading embeddings 27500-27600... ✓ Success
[131/198] Uploading embeddings 27600-27700... ✓ Success
[132/198] Uploading embeddings 27700-27800... ✓ Success
[133/198] Uploading embeddings 27800-27900... ✓ Success
[134/198] Uploading embeddings 27900-28000... ✓ Success
[135/198] Uploading embeddings 28000-28100... ✓ Success
[136/198] Uploading embeddings 28100-28200... ✓ Success
[137/198] Uploading embeddings 28200-28300... ✓ Success
[138/198] Uploading embeddings 28300-28400... ✓ Success
[139/198] Uploading embeddings 28400-28500... ✓ Success
[140/198] Uploading embeddings 28500-28600... ✓ Success
[141/198] Uploading embeddings 28600-28700... ✓ Success
[142/198] Uploading embeddings 28700-28800... ✓ Success
[143/198] Uploading embeddings 28800-28900... ✓ Success
[144/198] Uploading embeddings 28900-29000... ✓ Success
[145/198] Uploading embeddings 29000-29100... ✓ Success
[146/198] Uploading embeddings 29100-29200... ✓ Success
[147/198] Uploading embeddings 29200-29300... ✓ Success
[148/198] Uploading embeddings 29300-29400... ✓ Success
[149/198] Uploading embeddings 29400-29500... ✓ Success
[150/198] Uploading embeddings 29500-29600... ✓ Success
[151/198] Uploading embeddings 29600-29700... ✓ Success
[152/198] Uploading embeddings 29700-29800... ✓ Success
[153/198] Uploading embeddings 29800-29900... ✓ Success
[154/198] Uploading embeddings 29900-30000... ✓ Success
[155/198] Uploading embeddings 30000-30100... ✓ Success
[156/198] Uploading embeddings 30100-30200... ✓ Success
[157/198] Uploading embeddings 30200-30300... ✓ Success
[158/198] Uploading embeddings 30300-30400... ✓ Success
[159/198] Uploading embeddings 30400-30500... ✓ Success
[160/198] Uploading embeddings 30500-30600... ✓ Success
[161/198] Uploading embeddings 30600-30700... ✓ Success
